car_id	vel	pos_x	pos_y	pvel	ppos_x	ppos_y	prob
49685_49685_367_0	9.31966913872965	17128.1437817417	20053.4381847325	9.25038488064162	17128.962396769	20089.7316949037	0.673331459981036
51299_51299_369_0	9.11539367049307	17128.9102412295	20087.419365494	10.3815281154837	17129.0997572859	20095.8216091489	0.6196335129295247
53204_53204_371_0	9.87255185712614	17128.5223741274	20070.2231766321	9.10088942428541	17129.1323940147	20097.2685670111	0.7004515559471944
49685_49685_367_0	10.2895549055696	17127.9298539687	20043.9536412731	9.25038488064162	17128.962396769	20089.7316949037	0.7110314647891108
51299_51299_369_0	10.0332401931403	17128.7016424369	20078.1710837633	10.3815281154837	17129.0997572859	20095.8216091489	0.6559225656067108
53204_53204_371_0	9.37342268717683	17128.327493449	20061.5830910641	9.10088942428541	17129.1323940147	20097.2685670111	0.6811842446477504
51299_51299_369_0	9.53363871466415	17128.5034307439	20069.3833167952	10.3815281154837	17129.0997572859	20095.8216091489	0.6360430821848312
53204_53204_371_0	11.054836026137	17128.0976548921	20051.3931388564	9.10088942428541	17129.1323940147	20097.2685670111	0.7470149178635288
51299_51299_369_0	11.4069243798505	17128.2662719988	20058.8688221439	10.3815281154837	17129.0997572859	20095.8216091489	0.7120561302641993
53204_53204_371_0	8.47792428713655	17127.9213923153	20043.5784916647	9.10088942428541	17129.1323940147	20097.2685670111	0.6472402262690327
51299_51299_369_0	8.08807828993966	17128.0981146206	20051.4135210402	10.3815281154837	17129.0997572859	20095.8216091489	0.5802657468463733
51299_51299_369_0	8.6944736664518	17127.9173498154	20043.3992663807	10.3815281154837	17129.0997572859	20095.8216091489	0.6033394612583902
55993_55993_373_0	6.5383504567529	17075.2114282406	20038.3279631507	6.66818212148276	17069.016471602	20038.2325330465	0.6675781481557441
55993_55993_373_0	6.89716023370632	17081.7463499858	20038.4286302415	6.66818212148276	17069.016471602	20038.2325330465	0.6803776596670674
55993_55993_373_0	6.9236700249697	17088.3063892294	20038.5296842543	6.66818212148276	17069.016471602	20038.2325330465	0.6813277934350944
55993_55993_373_0	6.02352941209459	17094.0135631972	20038.6176003186	6.66818212148276	17069.016471602	20038.2325330465	0.6494144508575936
55993_55993_373_0	7.19058295906064	17100.8264971218	20038.7225500433	6.66818212148276	17069.016471602	20038.2325330465	0.6909279427670934
